4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
1E 1841-045  1841-0456  1 52464.00               15170.     82.       96.        1.      Based on table 8 in 9
1E 1841-045  1841-0456  2 52997.05                2450.     47.       -1.        1.      Based on table 8 in 9
1E 1841-045  1841-0456  3 53823.97                1390.     82.       -7.        3.      Based on table 8 in 9
J1844+0034   1844+00    1 51435.        3.           0.3      .1       1.        2.      60
J1844+0034   1844+00    2 51722.5        .4          5.2      .1       4.        3.      60
J1845-0316   1845-0316  1 52128.        1.          30.      1.       -2.        2.      60
J1845-0316   1845-0316  2 54170.       34.          71.9      .5       3.        2.      60
J1846-0258   1846-0258  1 52210.       10.           2.5      .2       0.93       .01    31
J1846-0258   1846-0258  2 53883.        2.        6200.    300.        4.46       .02    33, 30
J1847-0130   1847-0130  1 53426.        2.          15.      2.       -3.        2.      60, 61
J1847-0130   1847-0130  2 54784.449      .005       80.      2.        6.        3.      60
J1851-0029   1851-0029  1 54493.        1.           0.9      .2      -3.        2.      60
B1853+01     1856+0113  1 54123.        1.       11569.      1.       22.0        .2     60
B1859+01     1901+0156  1 51318.       70.          42.4      .1       0.8        .1     60
B1859+07     1901+0716  1 46860.95       .02        28.      1.      119.9      58.3     60, also in 51
B1900+06     1902+0615  1 48653.7        .1          0.41     .05      0.1        .3     60
B1900+06     1902+0615  2 49447.        1.           0.3      .1      -0.1        .4     60
B1900+06     1902+0615  3 50316.        2.           0.33     .05      0.5        .3     60
B1900+06     1902+0615  4 51136.        4.           0.4      .1      -0.4        .4     60
B1900+06     1902+0615  5 54239.        1.           0.26     .03     -0.7        .4     60
B1907-03     1910-0309  1 48252.        5.           0.5      .1       0.        2.      60, also in 29
B1907-03     1910-0309  2 49228.2        .1          2.5      .1       2.        1.      60, also in 29
B1907-03     1910-0309  3 53231.14       .01         2.7      .1       3.        2.      60
B1907+00     1909+0007  1 49530.        1.           0.4      .1       3.        2.      60
B1907+00     1909+0007  2 51224.        9.           0.2      .1       2.        1.      60
B1907+00     1909+0007  3 53546.        2.           0.5      .1       3.        2.      60
B1907+03     1910+0358  1 52321.       10.           1.3      .3       9.       11.      60
J1913+0446   1913+0446  1 53499.7        .5          6.5      .2       1.4        .2     60
J1913+0832   1913+0832  1 54653.908      .001       38.      1.        6.        3.      60
B1913+10     1915+1009  1 54154.        1.           2.7      .1       0.4        .3     60
J1913+1011   1913+1011  1 54431.        2.           0.2      .2       0.1        .4     60
B1917+00     1919+0021  1 50176.6        .2          1.9      .2      10.        4.      60, also in 29
B1923+04     1926+0431  1 51495.        1.           0.08     .02     -0.2        .1     60
B1930+22     1932+2220  1 45989.      400.         629.      9.                          60
B1930+22     1932+2220  2 46906.       85.        4427.      7.                          60
B1930+22     1932+2220  3 50253.        4.        4472.      1.       12.2        .3     60, also in 29
B1935+25     1937+2544  1 52032.        9.           0.03     .01      0.1        .1     60
B1951+32     1952+3252  1 51967.        9.           2.3      .1      -0.2        .1     25
B1951+32     1952+3252  2 52385.       11.           0.7      .1       0.0        .1     25
B1951+32     1952+3252  3 52912.        5.           1.3      .1       0.3        .1     25
B1951+32     1952+3252  4 53305.        6.           0.5      .1       0.1        .1     25
B1951+32     1952+3252  5 54103.44       .03         5.2      .2       0.0        .4     60
B1953+50     1955+5059  1 46964.        2.           0.04     .01     -0.6        .1     60
B1953+50     1955+5059  2 49038.        5.           0.021    .004    -0.1        .1     60
J1957+2831   1957+2831  1 52485.        3.           0.26     .05      0.6        .3     60
J1957+2831   1957+2831  2 52912.        3.           0.13     .03      0.3        .2     60
J1957+2831   1957+2831  3 54692.8        .3          5.8      .3       5.        6.      60
J2021+3651   2021+3651  1 52630.07       .05      2587.      2.        6.2        .2     21
J2021+3651   2021+3651  2 54177.       25.         745.      6.        5.5        .1     60
B2113+14     2116+1414  1 47989.        6.           0.26     .04      8.        3.      60
